公司名稱,職缺名稱,徵才網址,薪水區間
艾絲資訊股份有限公司,艾絲資訊 PHP 系統開發工程師,http://www.104.com.tw/job/4ua1d?jobsource=hotjob_chr,"月薪 40,000~60,000元"
茂林光電科技股份有限公司,【茂林光電  徵的是你】繪圖助理工程師 (新增),http://www.104.com.tw/job/70m4u?jobsource=hotjob_chr,"月薪 28,000~55,000元"
開榮股份有限公司,產品應用專員 Applications Specialist -南區,http://www.104.com.tw/job/6y482?jobsource=hotjob_chr,待遇面議 (經常性薪資達4萬元或以上) 
瀚強工程有限公司,工務助理【需建築相關科系，歡迎社會新鮮人】,http://www.104.com.tw/job/70bu8?jobsource=hotjob_chr,"月薪 35,000元以上"
"SKF Taiwan Co., Ltd._斯凱孚股份有限公司",可靠度業務工程師,http://www.104.com.tw/job/6wd3f?jobsource=hotjob_chr,"月薪 30,000~45,000元"
英濟股份有限公司,生醫事業 製程工程師,http://www.104.com.tw/job/71eaq?jobsource=hotjob_chr,待遇面議 (經常性薪資達4萬元或以上) 
太聯事業股份有限公司,事業開發助理 (全球事業開發部),http://www.104.com.tw/job/7195j?jobsource=hotjob_chr,"月薪 35,000~50,000元"
易大科技股份有限公司,現場管理工程師(彰化),http://www.104.com.tw/job/6zrnb?jobsource=hotjob_chr,"月薪 31,000元以上"
"SKF Taiwan Co., Ltd._斯凱孚股份有限公司",服務工程師,http://www.104.com.tw/job/5i2h5?jobsource=hotjob_chr,待遇面議 (經常性薪資達4萬元或以上) 
使之覺醒生化科技有限公司,保健食品開發專員,http://www.104.com.tw/job/717zc?jobsource=hotjob_chr,"月薪 35,000~55,000元"
英屬維京群島商嘉碼科技有限公司台灣分公司,資料工程師,http://www.104.com.tw/job/6zvh2?jobsource=jolist_c_relevance,"月薪 50,000~70,000元"
精藤股份有限公司,資料工程師,http://www.104.com.tw/job/6xsj2?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
聖嘉資訊科技股份有限公司,資料工程師,http://www.104.com.tw/job/3226n?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
我傳媒科技股份有限公司,資料工程師,http://www.104.com.tw/job/6y4tz?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
17直播_英屬維京群島商麻吉一七股份有限公司台灣分公司,Data Engineer 資料工程師,http://www.104.com.tw/job/6roij?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
玉山銀行_玉山商業銀行股份有限公司,(數金處)資料工程師,http://www.104.com.tw/job/5y7ya?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
17直播_英屬維京群島商麻吉一七股份有限公司台灣分公司,Data Engineer Manager 資料工程經理,http://www.104.com.tw/job/70mrk?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
華致資訊開發股份有限公司,資料工程師 Data Engineer,http://www.104.com.tw/job/717oc?jobsource=jolist_c_relevance,"月薪 30,000~45,000元"
ViewSonic Corporation_優派國際股份有限公司,資料工程師 Data Developer,http://www.104.com.tw/job/6vjg7?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
三也科技股份有限公司,維運資料工程師,http://www.104.com.tw/job/6z7y8?jobsource=jolist_c_relevance,"月薪 50,000~80,000元"
搞之訊有限公司,ETL資料工程師,http://www.104.com.tw/job/71kng?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
PIXNET_優像數位媒體科技股份有限公司,高級資料工程師(NC-痞客邦研發中心),http://www.104.com.tw/job/6lyi1?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
三也科技股份有限公司,資深維運資料工程師,http://www.104.com.tw/job/6zx2w?jobsource=jolist_c_relevance,"月薪 70,000~100,000元"
天鏡科技股份有限公司,資料工程師 (Data Engineer),http://www.104.com.tw/job/68tpe?jobsource=jolist_c_relevance,"月薪 40,000~90,000元"
永豐商業銀行股份有限公司,數據應用部-資料工程人員,http://www.104.com.tw/job/70dj8?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
紫式大數據決策股份有限公司,資料工程暨網頁系統整合開發工程師,http://www.104.com.tw/job/6p2d5?jobsource=jolist_c_relevance,"年薪 700,000~900,000元"
麟數據科技股份有限公司,資料工程師 Data Engineer (數據中台),http://www.104.com.tw/job/6uduf?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
91APP_九易宇軒股份有限公司,雲端資料工程師 (Cloud Data Engineer),http://www.104.com.tw/job/5s15o?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
富智康國際股份有限公司(鴻海集團),【S】資料工程師 Data Engineer(土城),http://www.104.com.tw/job/70cte?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
"美商 Canner, Inc_易開科技股份有限公司",資深資料工程師 (Data Engineer),http://www.104.com.tw/job/6pgc8?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
鼎羿科技有限公司,資料庫工程師,http://www.104.com.tw/job/6z13k?jobsource=2018indexpoc,"月薪 40,000~55,000元"
九七科技股份有限公司,Python 後端資料工程師,http://www.104.com.tw/job/700vg?jobsource=2018indexpoc,"月薪 45,000~65,000元"
資寶科技股份有限公司,資料工程師/Data Engineer,http://www.104.com.tw/job/71fz1?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
台灣大哥大股份有限公司,I193 大數據資料工程師,http://www.104.com.tw/job/6q2g6?jobsource=2018indexpoc,"月薪 31,000~53,000元"
瑞嘉軟體科技股份有限公司,Data Engineer / 資料工程師,http://www.104.com.tw/job/5jh6a?jobsource=2018indexpoc,"月薪 55,000~142,000元"
英屬維京群島商耐思財富投資有限公司台灣分公司,Data Engineer / 資料工程師,http://www.104.com.tw/job/714cp?jobsource=2018indexpoc,"月薪 55,000~142,000元"
三立電視台_三立電視股份有限公司,資料工程師(資訊部),http://www.104.com.tw/job/6dcfl?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
PIXNET_優像數位媒體科技股份有限公司,高級資料工程師(NC-痞客邦研發中心),http://www.104.com.tw/job/6lyi1?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
關貿網路股份有限公司,資料工程師(T53),http://www.104.com.tw/job/4ftgq?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
