公司名稱,職缺名稱,徵才網址,薪水區間
采易資訊系統股份有限公司,全區專案業務,http://www.104.com.tw/job/6z0vo?jobsource=hotjob_chr,"月薪 30,000~50,000元"
叡揚資訊股份有限公司,產品輔導師(20051801A),http://www.104.com.tw/job/6y1f8?jobsource=hotjob_chr,"月薪 28,000~40,000元"
利頡資訊科技有限公司,"高級前端工程師 **月薪60,000~80,000**",http://www.104.com.tw/job/6gia2?jobsource=hotjob_chr,"月薪 60,000~80,000元"
中國龍資訊科技有限公司,C# .NET Web 工程師,http://www.104.com.tw/job/6hn2m?jobsource=hotjob_chr,"月薪 50,000~75,000元"
星寰資訊有限公司,台中｜線上文字客服人員｜內勤/無業績壓力/歡迎應屆畢業生 / 無經驗亦可,http://www.104.com.tw/job/6x4sj?jobsource=hotjob_chr,"月薪 28,000~35,000元"
利頡資訊科技有限公司,"資深後端工程師 **月薪80,000~100,000**",http://www.104.com.tw/job/5sl35?jobsource=hotjob_chr,"月薪 80,000~100,000元"
財團法人國家同步輻射研究中心,軟體設計師/MIS程式設計師 (資訊室),http://www.104.com.tw/job/6uv8v?jobsource=hotjob_chr,待遇面議 (經常性薪資達4萬元或以上) 
采易資訊系統股份有限公司,全區系統工程師,http://www.104.com.tw/job/jijb?jobsource=hotjob_chr,"月薪 40,000~50,000元"
日商_亞洲藏壽司股份有限公司,MIS資訊人員(日文),http://www.104.com.tw/job/5yliw?jobsource=hotjob_chr,待遇面議 (經常性薪資達4萬元或以上) 
得利科技資訊有限公司,★1.『  電話行銷人員』 2.『廣告seo 關鍵字 』 ★(底薪+績效獎金) 無經驗可,http://www.104.com.tw/job/6e6ay?jobsource=hotjob_chr,"月薪 30,000~80,000元"
資策會_財團法人資訊工業策進會,【資訊處】資訊安全管理工程師,http://www.104.com.tw/job/6rkp4?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
仁大資訊股份有限公司,駐點資訊工程師/中科,http://www.104.com.tw/job/5mmiv?jobsource=2018indexpoc,"月薪 26,500~28,000元"
仁大資訊股份有限公司,駐點資訊工程師/竹科,http://www.104.com.tw/job/6k4eg?jobsource=2018indexpoc,"月薪 26,500~28,000元"
典匠資訊股份有限公司,資訊人員,http://www.104.com.tw/job/6xlqe?jobsource=2018indexpoc,"月薪 28,000~33,000元"
台灣奧佳華國際有限公司,資訊人員,http://www.104.com.tw/job/6jl85?jobsource=2018indexpoc,"月薪 38,000~48,000元"
宜誠資訊股份有限公司,MIS資訊人員(龍潭區),http://www.104.com.tw/job/6r10h?jobsource=2018indexpoc,"月薪 32,000~38,000元"
樂威科技股份有限公司,資訊專員,http://www.104.com.tw/job/6v82t?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
三竹資訊股份有限公司,資訊源研發工程師,http://www.104.com.tw/job/spu1?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
菁華工業股份有限公司,資訊工程師,http://www.104.com.tw/job/6ya96?jobsource=2018indexpoc,"月薪 32,000~38,000元"
釆力旺資訊有限公司,資訊人員,http://www.104.com.tw/job/6yjwy?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
仁大資訊股份有限公司,資訊人員 / 內湖-潭美,http://www.104.com.tw/job/6ygq1?jobsource=2018indexpoc,"月薪 26,000~30,000元"
安碁資訊股份有限公司,【IT】資訊安全顧問-2000340,http://www.104.com.tw/job/6xqxn?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
東宜資訊股份有限公司,派遣{中國信託-南港總行}-資訊助理,http://www.104.com.tw/job/6y4db?jobsource=2018indexpoc,"月薪 25,700元"
仁大資訊股份有限公司,駐點資訊工程師(高雄),http://www.104.com.tw/job/3t94d?jobsource=2018indexpoc,"月薪 28,000~31,000元"
世福細胞醫學科技股份有限公司,資訊管理師,http://www.104.com.tw/job/6f9ck?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
醫療財團法人好心肝基金會好心肝診所,資訊人員,http://www.104.com.tw/job/6rws7?jobsource=2018indexpoc,"月薪 50,000~120,000元"
泛太資訊科技開發股份有限公司,泛太資訊菁英培訓班,http://www.104.com.tw/job/6nwct?jobsource=2018indexpoc,"月薪 28,000~31,000元"
